iso_code	date	new_cases	stringency_index	HealthExpenseperGDP	total_smokers	gdp_per_capita	aged_65_older	population_density	log_population	identity percentage for NSP1	score for NSP1	identity percentage for NSP2	score for NSP2	identity percentage for NSP3	score for NSP3	identity percentage for NSP4	score for NSP4	identity percentage for NSP5	score for NSP5	identity percentage for NSP6	score for NSP6	identity percentage for NSP7	score for NSP7	identity percentage for NSP8	score for NSP8	identity percentage for NSP9	score for NSP9	identity percentage for NSP10	score for NSP10	identity percentage for NSP11	score for NSP11	identity percentage for NSP12	score for NSP12	identity percentage for NSP13	score for NSP13	identity percentage for NSP14	score for NSP14	identity percentage for NSP15	score for NSP15	identity percentage for NSP16	score for NSP16	identity percentage for Spike	score for Spike	identity percentage for NS3	score for NS3	identity percentage for E	score for E	identity percentage for M	score for M	identity percentage for NS6	score for NS6	identity percentage for NS7a	score for NS7a	identity percentage for NS7b	score for NS7b	identity percentage for NS8	score for NS8	identity percentage for N	score for N	death_growth_rate	Country	Clade_V	Clade_GH	Clade_GR	Clade_G	Clade_O	Clade_L	Clade_S
BLR	2020-05-31	15989.0	15.47	1018.0604	28.4	17167.967	14.799	468.58	16.061	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	-17.1717	Belarus	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BEL	2020-01-31	1.0	11.11	10.372	23.25	42658.575	18.571	375.564	16.266	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	0.0	Belgium	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BEL	2020-02-29	108.0	11.11	10.372	23.25	42658.575	18.571	375.564	16.266	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	0.0	Belgium	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BEL	2020-03-31	20705.0	83.6	10.372	23.25	42658.575	18.571	375.564	16.266	99.9718	1298.3951	99.9591	4653.9682	99.9814	14267.4183	99.9957	3752.7991	99.9997	2283.9896	99.9897	2231.7	99.9986	600.9884	99.9979	1438.963	100.0	821.0	99.6922	1028.625	100.0	90.0	99.9122	6987.0057	99.9806	4436.7884	99.9878	3987.4679	99.9965	2534.8628	99.9979	2221.9259	99.8897	9375.3191	99.9024	2071.5463	99.9759	549.8333	99.9578	1666.1768	99.9987	464.9926	99.9853	900.835	99.9981	339.9909	99.9673	918.6087	99.8509	3009.4632	0.0	Belgium	0.0	1.0	1.0	1.0	0.0	0.0	0.0
BEL	2020-04-30	29967.0	83.6	10.372	23.25	42658.575	18.571	375.564	16.266	99.9333	1297.7619	99.8762	4649.8095	99.9548	14265.5238	100.0	3753.0	99.9786	2283.3571	100.0	2232.0	100.0	601.0	99.9881	1438.7857	100.0	821.0	100.0	1032.0	100.0	90.0	99.9071	6986.5238	99.9571	4436.4286	100.0	3988.0	99.9786	2534.5	100.0	2222.0	99.9167	9377.9286	99.8476	2070.7619	100.0	550.0	99.9286	1665.5714	99.6476	463.0	99.7571	897.3571	100.0	340.0	100.0	919.0	99.9881	3015.5	310.9681	Belgium	0.0	1.0	1.0	1.0	0.0	0.0	0.0
BEL	2020-05-31	6029.0	72.48	10.372	23.25	42658.575	18.571	375.564	16.266	99.9333	1297.7619	99.8762	4649.8095	99.9548	14265.5238	100.0	3753.0	99.9786	2283.3571	100.0	2232.0	100.0	601.0	99.9881	1438.7857	100.0	821.0	100.0	1032.0	100.0	90.0	99.9071	6986.5238	99.9571	4436.4286	100.0	3988.0	99.9786	2534.5	100.0	2222.0	99.9167	9377.9286	99.8476	2070.7619	100.0	550.0	99.9286	1665.5714	99.6476	463.0	99.7571	897.3571	100.0	340.0	100.0	919.0	99.9881	3015.5	-86.611	Belgium	0.0	1.0	1.0	1.0	0.0	0.0	0.0
BRA	2020-02-29	13.0	11.11	1335.5969	15.3	14103.452	8.552	25.04	19.175	100.0	1299.0	100.0	4656.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	100.0	2074.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.5	2995.0	0.0	Brazil	0.0	0.0	1.0	1.0	0.0	0.0	0.0
BRA	2020-03-31	12043.0	67.74	1335.5969	15.3	14103.452	8.552	25.04	19.175	100.0	1299.0	99.9667	4654.5	100.0	14269.0	100.0	3753.0	100.0	2284.0	99.95	2230.5	99.8	599.5	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9167	6987.3333	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8833	9374.1667	99.9333	2072.1667	100.0	550.0	100.0	1667.0	98.9333	458.3333	100.0	901.0	100.0	340.0	100.0	919.0	99.45	2991.8333	0.0	Brazil	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BRA	2020-04-30	113162.0	70.52	1335.5969	15.3	14103.452	8.552	25.04	19.175	100.0	1299.0	99.9667	4654.5	100.0	14269.0	100.0	3753.0	100.0	2284.0	99.95	2230.5	99.8	599.5	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9167	6987.3333	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8833	9374.1667	99.9333	2072.1667	100.0	550.0	100.0	1667.0	98.9333	458.3333	100.0	901.0	100.0	340.0	100.0	919.0	99.45	2991.8333	1343.5805	Brazil	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BRA	2020-05-31	222180.0	75.15	1335.5969	15.3	14103.452	8.552	25.04	19.175	100.0	1299.0	99.9667	4654.5	100.0	14269.0	100.0	3753.0	100.0	2284.0	99.95	2230.5	99.8	599.5	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9167	6987.3333	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8833	9374.1667	99.9333	2072.1667	100.0	550.0	100.0	1667.0	98.9333	458.3333	100.0	901.0	100.0	340.0	100.0	919.0	99.45	2991.8333	68.8212	Brazil	1.0	0.0	1.0	1.0	0.0	0.0	0.0
